,index,content
1377,1403,but tum dono
1378,1404,mana ki maine jee ke time pe electronics skip kiya tha
1379,1405,iska output aisa aayega na
1380,1406,i am still not able to understand the purpose of learning french in cse
1381,1407,ask yourself
1382,1408,i dont know
1383,1409,i did that
1384,1410,should i make a new account
1385,1411,i thinks so
1386,1412,waise ab koi danger nhi hai na
1387,1413,ab pwd bhi change kar diya
1388,1414,aur credit cars details toh diya hi nhi maine
1389,1415,but maine kiya nhi
1390,1416,mereko bhi bola tha
1391,1417,and went back
1392,1418,i just clicked the link
1393,1419,i didnt even login
1394,1420,naah it had that u access the recordings when u feel good
1395,1421,he is my faculty advisor though
1396,1422,my electronics professor is chill as fuck
1397,1423,now my account is secured
1398,1424,ooh i forgot
1399,1425,for me nothing
1400,1426,just woke up
1401,1427,i was sleeping
1402,1428,before hacking
1403,1429,but was feeling lazy
1404,1430,i was going to do it yesterdqy
1405,1431,i am doing it
1406,1433,no what should i do
1407,1434,and went back
1408,1435,i just clicked the link
1409,1436,it doesnt bro
1410,1437,souro est fou
1411,1438,no bro i am not sik
1412,1439,let me translate
1413,1440,bonjour souro
1414,1441,its in paris which is in france
1415,1442,sorry sorry
1416,1443,and italyfrance
1417,1444,eiffel tower is in italy right
1418,1445,wtf is this french so hard
1419,1446,mereko lagta hai ki mere college ke fest ka bas ek hi highlight hai
1420,1447,omg ur college is op
1421,1448,check kar le kahi wahi toh nhi hai
1422,1449,and now the prof is done with it and wont take it anymore
1423,1450,and i got to know that the prof was randomly calling out names for asking questions
1424,1451,and i was skipping electronics classes
1425,1452,electronics mein koi pro hai toh bata do
1426,1453,mere bhi exams aa rahe hai
1427,1454,aacha aacha ok
1428,1455,bhej de behen
1429,1456,hum bhi dekhle thoda
1430,1457,ho gaya toh bhej do
1431,1458,usse niklega current and all
1432,1459,kvl and kcl se hoga shaayad
1433,1460,but i will try
1434,1461,current electricity toh aata nhi hai
1435,1462,yahi hota hai shaayad
1436,1463,tab toh hoga hi
1437,1464,warna mai mail send kar dunga usmein contact kar liyo
1438,1465,puchle bhai
1439,1466,iiit kottayam
1440,1467,who looks into these things
1441,1468,if u want to then i can send u an email of a prof
1442,1469,did u contacted my college
1443,1470,mere college ko bhi phone kar le
1444,1471,yeah my brain interpretation power is not much
1446,1473,aacha femme matlab femalewoman
1447,1474,dono ladki nhi hai
1448,1475,ye kya backchodi hai
1449,1476,mai french kar raha tha ek popup mila mereko discount ka
1450,1477,bhai ye duolingo free nhi hai
1451,1478,before exams and after i will forget it completely
1452,1479,it will take less time
1453,1480,or else i will learn french from duolingo
1454,1481,not french
1455,1482,or russian
1456,1483,i like german
1457,1484,i dont like it
1458,1485,i legit skip all of the classes of french and  electronics
1459,1486,u also have  to study french
1460,1487,wtf is this bruh
1461,1488,gotta prepare cheat sheets now
1462,1489,ok bros gotta talk later
1463,1490,nhi aa sakta
1464,1491,earphone nhi hai
1465,1492,yeah i got it
1466,1493,call me sadman
1467,1494,i am very depressed and sad person
1468,1495,what does computers have
1469,1496,jaada ho raha hai
1470,1497,mai jaa raha
1471,1498,making cheat sheets
1472,1499,preparing for my quiz
1473,1500,i am doing
1474,1501,hello gentleman
1475,1502,so wtf i should do
1476,1503,exponential growth
1477,1504,that was epic
1478,1505,i want more content like this
1479,1506,haan toh maine kab kuch bura kaha be
1480,1507,bro this is so good encyclopedia bana diya be
1481,1508,iiitindian institute of intense torture
1482,1509,agar time milega toh karunga
1483,1510,gdsc club mein
1484,1511,kal iska orientation tha
1485,1512,mai most probably karunga
1486,1513,ye haan suna toh hai
1487,1514,aur mereko pata nhi ise kya kehte hai toh maine swag hi likh diya
1488,1515,woh bhi ise swag hi keh rahe the
1489,1516,ye wala swag
1490,1519,thats why de rahe hai
1491,1520,maine participate kiya tha
1492,1521,paise nhi le rahe hai bro
1493,1522,kyuki unhone kaha tha ki indian postal system dikkat karta hai
1494,1523,pata nhi kab tak prapt hoga
1495,1524,hackathon ka swag aa raha hai
1496,1525,are u telling me to become a truck driver
1497,1526,aur humko pareshaan na karo
1498,1527,bro i am serious
1499,1528,ab bhosdiwalo sone jao
1500,1529,water gun lmao
1501,1530,delete that fast
1502,1531,i will try
1503,1532,i just read the subjects which are taught in each sem lol
1504,1533,i didnt read the curriculum properly
1505,1534,we have this much of things in electronics
1506,1535,cuz it has mathematical reasoning
1507,1536,especially maths
1508,1537,baaki everything is seeming easy to mee
1509,1538,only electronics is hard
1510,1539,jaada ho raha hai bro u need to stop
1511,1540,digital logic and all is in that one i guess
1512,1541,these things
1513,1542,i was going to do that
1514,1543,its basically intro to electronics circuits and devices
1516,1545,si pn junction diode it is
1517,1546,i mean its looking like that
1518,1547,this is correct for reverse bias right
1519,1548,u dont have to discuss everything i say
1520,1549,kalm down bois
1521,1550,aah shit here we go again
1522,1551,kaam karna padega nhi toh fail kardega
1523,1552,cuz the electronics prof is shit
1524,1553,and focusing on college
1525,1554,these days
1526,1555,i have taken a break from coding
1527,1556,pls tell i need to complete my lab prac
1528,1557,is this correct for forward bias
1529,1558,like cpu gpu and all
1530,1559,he just rushes
1531,1560,same is the case with my electronics ka professor
1532,1561,haan ofcourse
1533,1562,aacha woh toh got tha
1534,1563,ye koi series nhi thi
1535,1564,anyone willing to help me
1536,1565,bros i am giving a codechef contest
1537,1566,aaj aaoge kya khelne
1538,1567,ye bhi koi book hai
1539,1568,but i will try my best
1540,1569,i dont like reading
1541,1570,now ask me some questions
1542,1571,aaj se tu mera mentor
1543,1572,bro kitni aachi baate karta hai tu
1544,1573,mai khud par hi vishwas nhi karta na
1545,1574,wahi toh dikkat hai seekhna dur depress hokar rone baith jaata hun
1546,1575,i fear things
1547,1576,and think ki humse nhi ho paayega
1548,1577,and then i get depressed
1549,1578,whenever i code my code fails
1550,1579,its just that i am feeling insecure
1551,1580,which i have
1552,1581,i need brain for that
1553,1582,i will destroy the universe
1554,1583,paisa toh chahiye mereko
1555,1584,thats why i am fucking my life
1556,1585,i want money and happiness
1557,1586,maths is phaltu and physics is great
1558,1587,i understood
1559,1588,fucking my already fucked life
1560,1589,maths worthless
1561,1590,maths is phaltu
1562,1591,maths is shit
1563,1592,maths sucks
1564,1593,coding mein aur ghatiya maths hota hai
1565,1594,bcz it contains maths in which i suck
1566,1595,anything is easier than coding
1567,1596,i was getting such a good college for bsc
1568,1597,toh coding mein gaand ghiswa raha hun thoda usmein ghiswa lunga
1569,1598,like nit hamirpur
1570,1599,or any nit mech
1571,1600,if i had to enjoy life i would have taken bsc
1572,1601,thats true
1573,1602,i want money
1574,1603,haan ye sab bhi pasand nhi
1575,1604,ab apun bhi banega hacker
1576,1605,hacking ke upar
1577,1606,aaj humara webinar hai
1578,1607,aur overhyped cheeze bilkul pasand nhi mereko
1579,1608,matlab anime overhyped hai
1580,1609,i mean kya rakha hai usmein
1581,1610,aajkal sab log ye ghatiya anime kyu dekh rahe hai
1582,1611,can anyone pls explain
1583,1612,now i just have to figure out ki iitkgp wala virtual lab kaise chalta hai cuz the professor said that usmein bhi karna hai
1584,1613,pehle khul jane de phir dekhiyo
1585,1614,unko pata hai ki mech online nhi ho sakti hai thats why nhi kara rahe hai
1586,1615,batado bros aaj hi pactical karke phek dunga lms mein
1587,1616,mera ye aaya hai vi graph forward bias mein
1588,1617,ise vi charecteristics of pn junction diode keh sakte hai kya
1589,1618,and not iitians
1590,1619,we do a lot of mehnat
1591,1620,iiits are very hard
1592,1621,i am legit skipping all of hi classes
1593,1622,and jaldi submit karoge toh jaada marks
1594,1623,he is giving one lab prac every week
1595,1624,my electronics teacher is mad
1596,1625,and i disassembled it last winter
1597,1626,the same heater is in my house literally same
1598,1627,these type of shit depress me
1599,1628,i want to divert my mind for a lil bit
1600,1629,yeah plz suggest me good movie
1601,1630,waise main bhi hun music producer music club mein
1602,1631,apne college jo jaan le
1603,1632,so can u please tell how to do electronics practicals on that
1604,1633,jabki mera toh kerala mein hai jaha ka main pongal hai
1605,1634,regional holidays
1606,1635,nhi milega
1607,1636,saalo ke keh diya ki institute of national importance hai
1608,1637,how is he even alive
1609,1638,one of the things u lack
1610,1639,creativity bruh
1611,1640,this is known as real creativity
1612,1641,i am a fast learner aur jitni jaldi i learn utni jaldi i forget everything
1613,1642,dont go with the syntak i forgot python
1614,1643,and i wrote this
1615,1644,my professor asked what is the algo to make coffee
1616,1645,and most of all too much confusion
1617,1646,which contain inportance
1618,1647,too many webinars and workshops
1619,1648,i am instantly regretting my desicion to take cse and iiit at the same time
1620,1649,caste system
1621,1650,and also caste discrimination
1622,1651,yeah i know but it is worth  saving the lives of so many people
1623,1652,kya pharak padta hai govt ko kaunsa sunna hai
1624,1653,yeah lockdown kyu nhi karta hai ye govt
1625,1654,jab tak ghar waale nhi maan jaate
1626,1655,mai soch raha hun ki pg le lu
1627,1656,sirf woh nhi yaha mere pados mein yahi haal hai bc
1628,1657,they were like vaccine lagi hui hai kuch nhi hoga
1629,1658,nhi toh phir kya dikkat hoti mereko
1630,1659,lekin the thing is that my parents nhi baith rhe na ghar par
1631,1660,matlab seriously
1632,1661,i showed then the stats and they were like toh kya hua
1633,1662,mera ghar wale pagal hai bhai
1634,1663,after observation i am claiming
1635,1664,kuch dino se dekh raha hun
1636,1665,my observation
1637,1666,itne kam time mein itna saara kaise sochenge bhai mere college mein itne kam time mein aa gaya itna saara toh mai toh pakka fail ho jaaunga
1638,1667,they are pretty good
1639,1668,plague wale uncle
1640,1669,i am making many new frnds from america and europe
1641,1670,discord is dope
1642,1671,chod rehne dete hai use
1643,1672,kya ajeeb hai
1644,1673,aur pata nhi kaise bol raha hai ki thats my point to biswa that we need smart people
1645,1674,that was absolutely stupid bro
1646,1675,aur ye bsdk kya logic nikal raha hai iske liye
1647,1676,maine likha tha ki log mask nhi pehente
1648,1677,pata nhi kaise bio mein top maar gaya in neet
1649,1678,wahi na bc
1650,1679,unko apna resume send kar du
1651,1680,by a se from microsift usa
1652,1681,mai so raha tha and also mera ek webinar tha
1653,1682,kyuki jab tu ghar pe so raha hoga and all tab saans toh lega hi na
1654,1683,abe bsdk woh tab hoga jab tu continuously pehenega
1655,1684,bro how u got into iit bro
1656,1685,sanitizer toh jaise bc gaayab hi ho gaya ho market se
1657,1686,bina mask ke log ghum rahe hai
1658,1687,aur mai kuch bol bhi nhi sakta cuz mere pados mein toh sab chal raha hai jaise normally chalta hai
1659,1688,phaltu mentality
1660,1689,wahi bc vaccine lag rakhi hai toh kya hoga
1661,1690,mere ghar mein abhi bhi mere parents bahar aate jaate rehte hai
1662,1691,bcz it disappoints me
1663,1692,mat bheja kar ye sab
1664,1693,dusra wala dobara kar raha hun
1665,1694,dusra wala nhi chala i will have to see
1666,1695,pehla wala ho gaya sucessfully run
1667,1696,i hope mere college walo ko iske baare mein nhi pata hoga
1668,1697,i am glad ki mere aache marks nhi aaye jee mein
1669,1698,yaar ab dobara suicide karne ka man kar raha hai
1670,1699,negative grades
1671,1700,isiliye nhi dunga dobara
1672,1701,now i can live
1673,1702,ye sab jee adv waale kaam nhi hote
1674,1703,humare mein tick wale aate hai
1675,1704,aacha toh phir theek hai
1676,1705,mereko nhi dena exam
1677,1706,suicide karne
1678,1707,mai shi mai jaa raha hun ab
1679,1708,woh bhi subjective
1680,1709,mereko nhi dena exam
1681,1710,yaar mai suicide karne jaa raha hun
1682,1711,aapke saath
1683,1712,haan pata hai vitee ka exam bhi toh aise hi nikala tha lol
1684,1713,yah bhai kya ajeeb sa bhayanak sound aata hai
1685,1714,genius iiitians
1686,1715,koi electronics mein aacha hai yaha
1687,1716,thank u bro
1688,1717,ek dusra chrome tab khol lo aaram se karo
1689,1718,browser pe hoga
1690,1719,ki tum minimise nhi kar sakte and all
1691,1720,but codetantra ki tarah nhi hai
1692,1721,mera exam taking software proctored hai
1693,1722,mere exams mein
1694,1723,bros meri bhi help kardena pls
1695,1724,yes aaj bhi class cancel
1696,1725,i want to see the professors resignation latter
1697,1726,not ki professor ko kaise chahiye
1698,1727,pata hai wahi toh keh raha hun ki mai kar dunga but apne tareeke se
1699,1728,sue vit bro
1700,1729,execute kiya
1701,1730,there woulb be a lot of cases depending upon the value of n
1702,1731,ye kya hai typecasting kiya hai kya
1703,1732,ye shi lag raha hai
1704,1733,yahi sochkar toh mai mid sem and end sem dunga
1705,1734,marks mein kya rakha hai samajh aana chahiye
1706,1735,aur time lagega
1707,1736,mai kar dunga
1708,1737,sab ko bol raha hun
1709,1738,bhejta rahiyo aise
1710,1739,meri aachi practice ho jaayegi algo mein
1711,1740,ye dono questions badhiya hai
1712,1741,c mein toh pakka nhi chalta hai ye mereko maalum hai
1713,1742,itna toh pata hai ki python mein nhi chalta hai
1714,1743,string mein input lena padega aur question mein kaha hai ki int mein hi chalega
1715,1744,nhi hota sis
1716,1745,aur question mein likha hai ki char  string mein store nhi kar sakye
1717,1746,uske liye string mein store karna padega
1718,1747,ye bhi ho jaayega bur c pe karunga
1719,1748,maths aur electronics mein
1720,1749,warna fail ho jaaunga mai
1721,1750,bas meri bhi madad kar dena exam mein
1722,1751,mai hiran nhi hun jo deer bula raha hai
1723,1752,ye hai mera code samajh aa raha hai toh dekh le warna mai compile karunga abhi that was a pretty nice question
1724,1753,mereko time lagega
1725,1754,gfg wagehra pe mil jaayega
1726,1755,net pe search maar na
1727,1756,na maine chalu kar diya
1728,1757,aacha question hai
1729,1758,na bhai ab toh mai karke hi dum lunga
1730,1759,khud se kar liyo
1731,1760,tu algo samagh le
1732,1761,python bhul gaya
1733,1762,bhai c pe likh du
1734,1763,kitna time hai
1735,1764,waise bhi meri maths ki class chal rahi hai kich samagh nhi aa raha hai
1736,1765,copy pe likh ke de du
1737,1766,but time lagega
1738,1767,mai kar dunga
1739,1768,lmao koi aur offend ho gaya
1740,1769,joke bhai offend mat hoiyo
1741,1770,thoda sa kuch khud bhi kar le
1742,1771,kya log hai ye kaha se aate hai ye log
1743,1772,so we asked out electronics professor to send a sample practical to get us an idea and he sent a sent one which is a research project
1744,1773,that is new
1745,1774,i think that i might fail in electronics
1746,1775,but  kuch samagh sa nhi aa raha hai
1747,1776,bros mai apni github profile banana chahata hun
1748,1777,naah maafi nhi milegi tereko
1749,1778,kya hai ye
1750,1779,tune sabko ping kiya mere alawa
1751,1780,i told u to ping me u duffer
1752,1781,session ke liye
1753,1782,ka karna hai bhej de link and schedule
1754,1783,and a animated webpage in htmlcss
1755,1784,i have to build a chrome extension
1756,1785,please ping me too
1757,1786,bc bahut bakwas hai electronics
1758,1787,mas electronics na ho
1759,1788,baad mein hai
1760,1789,mera iit pallakad ke saath event hai
1761,1791,ye kya hota hai
1762,1792,woh jee wala
1763,1793,abe bc ye college life kitni boring hai yaar
1764,1794,kya chal raha hai bhailog
1765,1795,kaha the aap itne din
1766,1796,bahut dino baad darshan hue aapke
1767,1797,valo khel rahe the toh mereko bhi bula lete
1768,1798,ye sab karne ke liye iiit liya tha kya maine
1769,1799,but i consider it as one
1770,1800,and also taylor series math mein nhi tha
1771,1801,i thought i was a pdf related to mclaren
1772,1802,oye hue research paper
1773,1803,ya subjective hai
1774,1804,tab jaakar kuch ho sakta hai
1775,1805,is question ko sirf ek hi variable ke integration mein convert karna padega
1776,1806,limits ko change karna padega
1777,1807,y ka kya karega
1778,1808,mereko ncert kaintegretion nahi aata hai lmao
1779,1809,lekin integration nahi kiya aise
1780,1810,partial differentiation toh kiya hai
1781,1811,partial integration bhi hota hai kya kuch
1782,1812,agar ye dy and y nahi hota toh mai kar deta for sure
1783,1813,humko maaf karo
1784,1814,ooh bhai na ho payega humse
1785,1815,mat bheja kar ye sab saale
1786,1816,its basically a series of events
1787,1817,kal hum hacking karenge
1788,1818,computer game
1789,1819,koi ping mat karo
1790,1820,let me focus
1791,1821,mera hackathon chal raha hai
1792,1822,waha beach mein ladke taadta rahiyo
1793,1823,na bhai iiit hai na nit thodi
1794,1824,u guys know ki mai kitna bhullakad hun
1795,1825,bura mat maana
1796,1826,aise hi isko save karne ke liye use kar raha hun
1797,1827,kyuki wahi aasan lag rahi hai mereko
1798,1828,web dev can be a good profession right
1799,1829,yeah i wont give a penny to that app
1800,1830,i dont kare
1801,1831,let me concentrate
1802,1832,u shit aadmi
1803,1833,no its not a scam
1804,1834,aur usse bhar bhar ke paisa kamaunga
1805,1835,ab toh mai bhi app banaunga
1806,1836,python se bhi jaada aasan
1807,1837,kotlin is so fun
1808,1838,humara naam aisa kyu nahi hai be
1809,1839,there is a guy in my college whose name is blaize
1810,1840,tu dub mar
1811,1841,bas js seekhna hai
1812,1842,html and css
1813,1843,web development seekh liya
1814,1844,i like app dev
1815,1845,kyu kya hua
1816,1846,google gdsc kotlin programming intro
1817,1847,google ka webinar
1818,1848,sahi mein hai bro
1819,1849,pata nahi kab karunga
1820,1850,aaj upar se google ka koi webinar hai mere college mein
1821,1851,kuch samagh nahi aa raha hai
1822,1852,koi help kar do lt spice ke saatb
1823,1853,thats why i didnt take bsc
1824,1854,but i havent even typed the heading lmao
1825,1855,and submit it on monday
1826,1856,i also need to do a lt spice assignment
1827,1857,i was just telling it in a other way
1828,1858,i know man
1829,1859,bahut tez ho raha hai
1830,1860,anime ke naam pe porn bhejta hai saale
1831,1861,saale tharki
1832,1862,lekin college nahi jaana yaar mereko
1833,1864,yeah lagwa liya
1834,1865,to make it funniwr
1835,1866,that was intentional
1836,1867,biology then vaccine is containing weakened covid virus so ya i am now infected with covid
1837,1868,waise if i apply my big brain in biologu
1838,1869,ka vaccine
1839,1870,finally i got covid
1840,1871,for your suggestion
1841,1872,electronics mereko na hi jee mein samagh aaya tha aur na hi abhi samajh aa rahi hai
1842,1873,kya hua bro
1843,1874,jaada se jaada i will figure it out kaise karna hai and then use my brain
1844,1875,ya i am not gonna cheat completely
1845,1876,how should i read then
1846,1877,the only one in our college to do so
1847,1878,he is following strict plaguerism policy
1848,1879,haan lets see
1849,1880,and just rushes
1850,1881,yes its related
1851,1882,kya padha raha hai kich samagh nahi aa raha hai
1852,1883,mere teacher ne canada se phd kari hai
1853,1884,de de bhai notes
1854,1885,my college curriculum is based on your college curriculum
1855,1886,electrical nahi electronics
1856,1887,these days
1857,1888,my normal brain wasnt active
1858,1889,nice observation
1859,1890,razavi yt lec
1860,1891,i am following razavi book and yt lec for electronics
1861,1892,bas gha hai instead of jha
1862,1893,he is saying samagh nahi aa raha hai toh samagh
1863,1894,now is my french class and the teacher is not interested
1864,1895,yaar ye electronics toh bilkul bhi samagh nahi aa raha hai
1865,1896,tab toh rehne do
1866,1897,ab mai apne parents ko bolunga ki ghar pe baitho toh mannenge nahi woh
1867,1898,is it free
1868,1899,i got the msg yesterday
1869,1900,for the sake of my health
1870,1901,cse karte karte beech beech mein bakchodi karni padegi na
1871,1902,karna jaruri hai warna mai depression mein chala jaaunga
1872,1903,active karo aur jaada is grp ko
1873,1904,aajkal grp khaali pada rehta hai kya baat hai
1874,1905,lmao our future
1875,1906,kuch palle nahi padh raha hai
1876,1907,lekin phaltu hai electronics
1877,1908,haan waise cse mein sirf coding thodi na hogi
1878,1909,woh jaankar mai kya karunga
1879,1910,like cpu processor ka architechture
1880,1911,pura computer ka sab kuch thodi na padhayenge
1881,1912,but tab bhi
1882,1913,i know ki electronics hai
1883,1914,how is this related to computers
1884,1915,ye kaha phas gaya mai
1885,1916,cse karne aaya tha
1886,1917,my electronics professor is mad
1887,1918,maine miss kar di
1888,1919,school ka vaccination toh kal tha
1889,1920,kaha se lagwaya bro
1890,1921,everyone yaha koi aur hai jise vaccine na lagi ho
1891,1922,mereko bhi lagwani hai
1892,1923,pls bata de
1893,1924,kab se lag rahai hai
1894,1925,humare school mein vaccine lag rahi hai kya
1895,1926,online internship
1896,1927,its easier to get
1897,1928,in my college yes
1898,1929,even iiit people are also getting
1899,1930,and most of the faculty in my college are phds from abroad
1900,1931,teachers exchange from there
1901,1932,its partially occupied with tum
1902,1933,my college is also having this type of thing with tum germany
1903,1934,yeah thats why
1904,1935,serious discussion
1905,1936,it i would have to spend more years studying i would have taken mbbs aur bsc
1906,1937,not doing that for sure
1907,1938,aur aachi job lo
1908,1939,bas coding mein jaada samay do
1909,1940,koi dikkat nahi hai
1910,1941,tum rec se padh lena
1911,1942,he said ki bas quizes and assignment mein aache no le aao
1912,1943,aaj maine elektronics ki class nahi ki
1913,1944,agar yaha maza nahi aa rha hai toh dont attend
1914,1945,they say cse kar rahe ho coding mein dhyaan do
1915,1946,and dont take attendence
1916,1947,my teachers leaves us
1917,1948,thats luck
1918,1949,lekin maine kuch aur matlab nikala na
1919,1950,tum logo ke sem exams subjective honge ya objective
1920,1951,humare electronics sir ne kaha ki exam ke time notes refer kar lena
1921,1952,waise bhi it isnt bringing any innovation
1922,1953,this electronics subject should be removed in india
1923,1954,phaltu subject
1924,1955,but ye electronics kyu hai mere syllabus mein
1925,1956,so i am done with todays classes and jaada sab sahi tha
1926,1957,link bhej de bhai
1927,1958,along with some mutation theorey
1928,1959,agar aisa hai toh exponential growth wala equation lagega
1929,1960,electronics ka class hai ab
1930,1961,ab mai chalta hun
1931,1962,iska equation bhi aata hai mereko
1932,1963,maine bas keh diya ki isko bhi consider kar ek baaar
1933,1964,research toh khud kar
1934,1965,just giving you ideas to think upon and apply that
1935,1966,i am no bio student
1936,1967,tu hai na cannibal
1937,1968,exponential wala valid nahi hai real life meiin
1938,1969,haan toh logistic growth hi toh hai possible
1939,1970,galti se tereko ping kar diya
1940,1971,debjeet ko ping karna chahata tha
1941,1973,my classes started
1942,1974,papa keh rahe the maine mana kar diya
1943,1975,mereko toh vaccine bhi nahi lagi
1944,1976,agar orientation  nahi hota toh
1945,1977,bhai aaj mai aa jata pakka
1947,1979,lmao roast
1948,1980,bura lagta hai
1949,1981,mat bheja kar ye sab
1950,1982,village mein le jaakar padhate hai kya
1951,1983,remote teaching kya hau
1952,1984,no but my batchmates are phaltu
1953,1985,i mean mare hue
1954,1986,kya phayeda college mein beach hone ka jab college mein sab ander se khatam ho
1955,1987,lagta hau future khatre mein hai mera
1956,1988,mere mein toh non class days mein baache hi bhar bhar ke msgs karte hai
1957,1989,hum iiitians ko bahut underestimate karte hai log
1958,1990,humne jaakar unki bezti maar di
1959,1991,waise bhi woh chem mech ke the
1960,1992,bhaag gaya
1961,1993,aur iit kgp waalo ko fuckoff likhkar
1962,1994,maine leave kar diya
1963,1995,maine toh leave hi kar diya grp
1964,1996,jaldi bata
1965,1997,humare grp pe bhar bhar ke spam kar rahe hai
1966,1998,ye iit kgp walo ne toh alag hi nashe kar rakhe hai
1967,1999,fool iitians
1968,2000,maine grp leave kar diya
1969,2001,mera phone hang ho gaya
1970,2002,aur bhar bhar ke spam kar rahe hai
1971,2003,ye iit kgp ke baache aa gaye raid maarne humare grp par cse iiitk
1972,2004,happy new year bros
1973,2005,koi aayega valo
1974,2006,mai toh  valorant khel raha hun
1975,2007,mobile phones and computers
1976,2008,ab puri jindagi usi device par based hai
1977,2009,kabhi socha nahi tha ki jis cheez se pitaji itna hate karte the aur chalane nahi dete the
1978,2010,sahi pakde hai aap
1979,2011,but baaki core branches waalo ko bahut dikkat aayegi
1980,2012,isse cse walo ko jaada dikkat nahi aayegi
1981,2013,apne desh ka
1982,2014,ab tughe gaali deni hai toh de
1983,2015,mai toh mazak kar raha
1984,2016,sorry brdr
1985,2017,thats why its not opening
1986,2018,college life is very interesting
1987,2019,discord par
1988,2020,hum log toh har raat ko music vibing karte hai
1989,2021,u were ought to
1990,2022,chup reh tu
1991,2023,ye le maine kar diya
1992,2024,it has just started
1993,2025,u all ought to follow it
1994,2026,we are the same bro
1995,2027,i am so excited to start a new boring year
1996,2028,it shows wtf have u done in this year
1997,2029,bahut dheere dheere padhunga
1998,2030,maine dsa start kar diyya
1999,2031,programming lang
2000,2032,nahi bas jaanna tha ki mai hi toh akela woh nahi hun na jo har tyohar ke time par padhayi karta hai aur pada rehta hai
2001,2033,kis cheez ka pdf
2002,2034,kaunsa pdf
2003,2035,cse alumnus
2004,2036,another comediam is also a iit bombay
2005,2037,coding keeps me up at night
2006,2038,yahi puchne ke liye aaya tha kya
2007,2039,why though
2008,2040,for now not doing
2009,2041,tera ek sem ho bhi gaya
2010,2042,kudos to u brother
2011,2043,typical desparate btech student
2012,2044,toh ek ladka puch raha hod cse se ki how to get girlfrnds
2013,2045,faculties ke saamne
2014,2046,abhi humara freshers intro ho raha tha
2015,2047,aur kuch nahi hai
2016,2048,woh baat alag hai ki mere college mein bas cse hai
2017,2049,itna toh iit ka bhi nahi hota
2018,2050,placement stats mein bataa rahe hai ki
2019,2051,orientation done
2020,2052,ya khud se lekar aana hai
2021,2053,aur ek puch raha hai kihostel mein light hai kya
2022,2054,hostel mein bed hai kya
2023,2055,ek baacha puch raha hai ki
2024,2056,is to be included in the cv
2025,2057,the build quality
2026,2058,by giving money
2027,2059,mere college mein outdoor sports exist hi nahi karta
2028,2060,excluding some iiits
2029,2061,most iiits se jaada aacha stats hai
2030,2062,partial drop lekar kya karunga
2031,2063,placement badh rahe hai toh
2032,2064,jab sab sahi hai
2033,2065,yes i know
2034,2066,pehle lagne toh de
2035,2067,sach nahi lag raha
2036,2068,mere college ke placements toh bhayanak tareeke se badh rahe hai
2037,2069,koi dhang ka wifi suggest kar do
2038,2070,coding mereko hindi mein jaada samagh aati hai
2039,2071,bas english mein bole jaa rahe hai
2040,2072,sab theek hi chal raha hai abhi tak
2041,2073,and sab kuch hai
2042,2074,the faculties are seeming nice to me
2043,2075,abhi orientation chal raha hai
2044,2076,cse mein mai akela fail nahi hounga
2045,2077,ab ye sab padhkar mereko lag raha hai ki
2046,2078,ab js gaand maar lega
2047,2079,java aache se seekhi
2048,2080,toh c ne gaand maar li
2049,2081,python aache se seekhi
2050,2082,itni saari kyu hai
2051,2083,phir banenge rich
2052,2084,pehle padhayi toh puri kar lu
2053,2085,ek language banao jo sab kar de
2054,2086,i sometimes wonder why the hell there are so many programming languages
2055,2087,mereko cse mein
2056,2088,ab ye sab toh nahi seekhni padegi na
2057,2089,c toh lag nahi raha hai
2058,2090,kaunsi language hai ye
2059,2091,my batchmates are good at doing these things only
2060,2092,either partial or full
2061,2093,ok jo karna hai kar
2062,2094,bcz i am commanding
2063,2095,delete it fast
2064,2096,i will follow ur orders
2065,2097,woh bhi hai
2066,2098,pata hai mereko ki inki wajah se padhayi nahi ho paayegi
2067,2099,maza isiliye aa raha hai kyuki padhayi nahi ho rahi hai
2068,2100,ye saare chutiye baache mere hi sec mein hai
2069,2101,share some tips
2070,2102,lekin lag raha hai meri padhayi khatre mein hai
2071,2103,maza aa raha hai
2072,2104,college peeps ke saath late light music sun raha hun
2073,2105,iska kya matlab hai
2074,2106,context samagh aana chahiye
2075,2107,u are a iitian
2076,2108,inhe le lu
2077,2109,ye games aache hai kya
2078,2110,these dumb iitians
2079,2111,mereko abhi tak realize nahi ho raha
2080,2112,you foolish peeps
2081,2113,let me watch money hiest
2082,2114,this is the rise of iiitians
2083,2115,no need to cry
2084,2116,no problem
2085,2117,except you
2086,2118,the intelligent peeps will understand
2087,2119,i wont tell
2088,2120,no he is talking about something else
2089,2121,and focus on  your own works
2090,2122,yes lets end this
2091,2123,yes lets end this
2092,2124,usi ko modify karke humara banaya hai
2093,2125,learning management system
2094,2126,kuch khelenge
2095,2127,vc par aa jao
2096,2128,i am superior
2097,2129,neither dtu
2098,2130,abhi vc par aaoge kya
2099,2131,tune iiits padha
2100,2132,maine iits likha hai
2101,2133,padhna seekhle pehle
2102,2134,aacha sorry
2103,2135,i am a man of culture you see
2104,2136,we are not considering iits
2105,2137,seniors said ki usmein cheating bade aaram se ho jaati hai
2106,2138,you bastards
2107,2139,and my college has its own lms
2108,2140,and excellent seniors
2109,2141,also my college has a very good coding culture
2110,2142,for startup my frnd
2111,2143,lmao you know
2112,2144,lets see my dear
